epochs,batch_size,lr,seed,precision,recall,f1-score,accuracy
4,8,1.00E-05,223,0.781848733,0.770712756,0.76514239,0.766824645
4,8,1.00E-05,23456,0.780819204,0.765430481,0.758444843,0.760900474
4,8,1.00E-05,345678,0.784531029,0.76488623,0.756579862,0.759952607
4,8,1.00E-05,1234,0.78304536,0.764548884,0.756121457,0.759952607
4,8,1.00E-05,8,0.780558024,0.76260015,0.754456514,0.758056872
4,8,1.00E-05,42,0.775351605,0.75234371,0.742263024,0.747156398
